Ticker,dividendYield,payoutRatio,operatingMargins,CF,P/E,ROE,EPS
0098.KL,,0.0,-0.04087,10484126.0,-,-9.604,0.007
5258.KL,0.0318,0.5789,0.33368,1849055000.0,9.02,7.478,0.229
7251.KL,,0.0,0.025109999,-30055000.0,13.58,294.519,0.004
1899.KL,0.0545,0.65480006,0.0908,1547297000.0,12.14,8.685,2.981
6602.KL,,0.0,0.21484,69995237.0,4.99,4.867,0.061
0187.KL,,0.0,-0.09997,-51528204.0,-,-6.977,-0.014
5190.KL,,0.0,-0.53279996,24561746.0,-,-11.103,-0.049
3239.KL,,0.0,0.20743,20366000.0,-,-1.277,-0.009
3395.KL,,0.0,0.06306,258289000.0,-,-1.910,-0.021
5196.KL,0.0467,1.854,0.16540001,252920000.0,11.65,21.087,0.059
4219.KL,,0.0,0.063769996,78595000.0,9.09,3.930,0.030
5248.KL,0.080299996,0.47529998,0.10130999,102664000.0,7.87,52.127,0.263
9814.KL,,0.0,0.056929998,-1787759.0,1.23,15.345,0.062
7668.KL,0.0392,2.046,0.10014,7684589.0,18.80,5.197,0.054
0263.KL,0.033,0.1385,0.12893,23557113.0,12.59,-,0.036
6173.KL,0.0148,,0.03807,16429000.0,-,-0.100,0.018
5932.KL,,0.0,-0.77088,16521000.0,-,-87.474,-0.058
0195.KL,,0.0,0.08903,-3636418.0,36.57,3.501,0.012
6998.KL,,0.0,-1.15018,-1038000.0,-,-35.516,-0.061
5032.KL,0.0238,0.5822,0.27339,386135000.0,21.21,6.337,0.278
0179.KL,,0.0,-1.59511,-19664053.0,-,-32.808,-0.038
5069.KL,0.0027,0.2583,0.014520001,178456551.0,56.82,2.486,0.324
0168.KL,0.019,0.4781,0.06599,11451623.0,25.87,7.763,0.027
9288.KL,0.044699997,0.2839,0.20153,93728000.0,6.47,12.549,0.274
7036.KL,,0.0,0.56104,19558927.0,-,-1.480,-0.001
8133.KL,,0.0,-0.022880001,-34682000.0,-,-37.534,-0.080
5254.KL,0.0274,2.0951,0.0598,248016000.0,38.52,2.963,0.266
6297.KL,,0.0,0.00821,76863350.0,-,-9.891,-0.050
5100.KL,0.048800003,0.5345,0.06459,15262297.0,12.44,11.568,0.108
9938.KL,,0.0,-0.02881,-11371304.0,-,-1.451,-0.012
0011.KL,0.0296,0.2712,0.43935,2729480.0,9.16,9.012,0.030
4162.KL,0.0808,1.0673001,0.32758,362859000.0,12.38,59.097,0.919
7221.KL,,0.0,-0.083579995,4395337.0,-,-15.331,0.008
7188.KL,,0.0,-2.23523,-1806852.0,-,-45.289,-0.041
5210.KL,,0.0,0.42474,1427282000.0,4.74,12.908,0.124
1818.KL,0.044499997,0.9233,0.52355,194339000.0,24.05,28.398,0.280
03042.KL,,0.0,0.29995,2415244.0,-,17.668,0.037
2828.KL,0.0484,0.1935,0.03546,64188000.0,5.45,27.180,0.620
7174.KL,,0.0,0.08585,105966641.0,4.34,18.982,0.083
0191.KL,,0.0,0.01556,481048.0,117.95,0.777,0.007
2852.KL,0.026300002,0.1319,0.01249,-49725000.0,4.66,7.761,0.267
7128.KL,,0.1319,0.0546,12393678.0,4.96,10.701,0.085
5105.KL,0.0149,0.314,0.036059998,185456000.0,21.74,1.327,0.477
5311.KL,0.0047,0.0,0.099659994,-13332387.0,-,-,0.036
5099.KL,,0.0,-0.045840003,-372832000.0,10.76,0.000,-0.648
5180.KL,0.0725,2.4235,0.47257,140912000.0,28.29,1.917,0.023
0163.KL,,0.0,-0.62741,58822278.0,-,-43.271,0.394
5257.KL,0.0215,0.0,0.11339,-17948000.0,9.31,12.697,0.099
03016.KL,0.045500003,0.2161,0.29161,18134058.0,7.26,25.043,0.030
2836.KL,0.044,0.85870004,0.17198,266250000.0,19.90,184.723,1.037
03048.KL,,0.0,-0.24235001,-3346479.0,-,-934.765,0.004
0173.KL,,0.0,0.14602,-1168352.0,-,3.187,-0.009
7076.KL,0.0364,,-0.051119998,-41897000.0,-,-2.666,-0.012
03053.KL,0.0294,2.506,0.14716,-42265.0,52.87,5.110,0.010
7035.KL,0.0435,0.2969,0.059949998,11780683.0,7.01,20.585,0.101
03024.KL,0.0013,0.0183,0.17295,7208592.0,-,13.024,0.069
0238.KL,0.015800001,0.38459998,0.13647,4771887.0,18.42,7.314,0.026
