stock_code,rDY,rPR,rOM,rCF,rPE,rROE,rEPS,rClass,rDate
6297,0.0,0.0,0.821,76863350,0.0,-9.891,-5.0,D,2023-10-10
5100,4.88,53.45,6.459,15262297,12.44,11.568,10.8,C,2023-10-10
9938,0.0,0.0,-2.881,-11371304,0.0,-1.451,-1.2,D,2023-10-10
0011,2.96,27.12,43.935,2729480,9.16,9.012,3.0,C,2023-10-10
4162,8.08,106.73,32.758,362859000,12.38,59.097,91.9,D,2023-10-10
7221,0.0,0.0,-8.358,4395337,0.0,-15.331,0.8,D,2023-10-10
7188,0.0,0.0,-223.523,-1806852,0.0,-45.289,-4.1,D,2023-10-10
5210,0.0,0.0,42.474,1427282000,4.74,12.908,12.4,D,2023-10-10
1818,4.45,92.33,52.355,194339000,24.05,28.398,28.0,D,2023-10-10
03042,0.0,0.0,29.995,2415244,0.0,17.668,3.7,D,2023-10-10
2828,4.84,19.35,3.546,64188000,5.45,27.18,62.0,C,2023-10-10
7174,0.0,0.0,8.585,105966641,4.34,18.982,8.3,D,2023-10-10
0191,0.0,0.0,1.556,481048,117.95,0.777,0.7,D,2023-10-10
2852,2.63,13.19,1.249,-49725000,4.66,7.761,26.7,C,2023-10-10
7128,0.0,13.19,5.46,12393678,4.96,10.701,8.5,D,2023-10-10
5105,1.49,31.4,3.606,185456000,21.74,1.327,47.7,D,2023-10-10
5311,0.47,0.0,9.966,-13332387,0.0,0.0,3.6,D,2023-10-10
5099,0.0,0.0,-4.584,-372832000,10.76,0.0,-64.8,D,2023-10-10
5180,7.25,242.35,47.257,140912000,28.29,1.917,2.3,D,2023-10-10
0163,0.0,0.0,-62.741,58822278,0.0,-43.271,39.4,D,2023-10-10
5257,2.15,0.0,11.339,-17948000,9.31,12.697,9.9,D,2023-10-10
03016,4.55,21.61,29.161,18134058,7.26,25.043,3.0,C,2023-10-10
2836,4.4,85.87,17.198,266250000,19.9,184.723,103.7,D,2023-10-10
03048,0.0,0.0,-24.235,-3346479,0.0,-934.765,0.4,D,2023-10-10
0173,0.0,0.0,14.602,-1168352,0.0,3.187,-0.9,D,2023-10-10
7076,3.64,0.0,-5.112,-41897000,0.0,-2.666,-1.2,D,2023-10-10
03053,2.94,250.6,14.716,-42265,52.87,5.11,1.0,D,2023-10-10
7035,4.35,29.69,5.995,11780683,7.01,20.585,10.1,C,2023-10-10
03024,0.13,1.83,17.295,7208592,0.0,13.024,6.9,D,2023-10-10
0238,1.58,38.46,13.647,4771887,18.42,7.314,2.6,D,2023-10-10
0243,2.92,34.93,25.768,13626809,23.6,13.352,1.6,C,2023-10-10
5195,3.19,91.46,7.64,3750000,31.37,4.556,1.1,D,2023-10-10
8052,0.0,0.0,7.663,-13161751,52.64,7.343,6.3,D,2023-10-10
8982,4.32,83.68,7.998,49060000,28.63,1.88,10.2,D,2023-10-10
7209,0.0,0.0,-11.614,278242,0.0,-14.123,-3.8,D,2023-10-10
5273,0.0,0.0,2.748,-14111305,84.34,12.531,5.5,D,2023-10-10
7187,0.0,0.0,4.728,-21740254,17.77,10.778,1.6,D,2023-10-10
1929,2.09,23.11,27.754,76185147,11.08,7.569,117.7,C,2023-10-10
5007,1.04,61.92,10.031,111313372,10.02,5.865,13.8,D,2023-10-10
5188,0.0,0.0,-222.41,173000,0.0,-16.574,-2.4,D,2023-10-10
5797,2.69,0.0,-5.803,44927000,0.0,-2.508,5.2,D,2023-10-10
7016,0.0,0.0,0.945,-31320175,0.0,-0.739,-1.4,D,2023-10-10
1023,6.45,44.92,48.251,7187992000,9.84,9.661,52.1,C,2023-10-10
7245,0.0,0.0,-14.537,-5108000,0.0,-15.093,-17.3,D,2023-10-10
5104,0.0,0.0,0.663,1766950,0.0,-3.051,-0.2,D,2023-10-10
7117,3.75,45.45,3.243,101878000,12.9,4.349,4.8,C,2023-10-10
7202,15.6,137.5,22.23,3820089,16.09,8.031,4.5,D,2023-10-10
7154,0.0,0.0,-20.896,397571,0.0,-9.94,-2.9,D,2023-10-10
03001,0.0,0.0,-0.765,-7211624,0.0,-1.502,-0.1,D,2023-10-10
7018,0.0,0.0,-4.095,-1831000,0.0,-3.158,-0.5,D,2023-10-10
7986,0.0,0.0,-50.861,-31979761,0.0,-48.631,-10.0,D,2023-10-10
0246,2.62,0.0,12.793,14000,14.49,14.062,4.7,D,2023-10-10
5071,0.0,0.0,25.636,45243763,2.88,24.26,69.6,B,2023-10-10
2127,0.0,0.0,-22.635,-11888995,0.0,-7.691,-7.3,D,2023-10-10
7195,0.0,0.0,12.176,-12197000,15.02,80.638,8.6,D,2023-10-10
5037,0.0,0.0,-118.215,-4555000,0.0,-7.774,-0.2,D,2023-10-10
8044,0.0,0.0,-12.179,-1569771,0.0,-4.236,29.1,D,2023-10-10
8435,0.0,0.0,3.769,5364719,50.41,2.548,0.5,D,2023-10-10
0240,0.0,0.0,10.761,1910905,24.7,12.84,3.4,D,2023-10-10
0261,2.56,46.11,8.026,-13192000,25.37,0.0,1.6,C,2023-10-10
5738,0.0,0.0,-49.984,-19779000,0.0,-11.732,-28.6,D,2023-10-10
5049,5.45,136.72,9.764,-11565000,22.68,1.241,3.0,D,2023-10-10
6718,3.6,74.63,12.831,48244372,15.72,2.618,8.8,C,2023-10-10
8591,0.0,0.0,2.466,-446593,0.0,-6.613,-9.2,D,2023-10-10
5094,2.46,68.65,-0.834,122660322,28.63,1.835,4.0,C,2023-10-10
7165,0.0,0.0,-86.891,-96284866,0.0,-6.738,-1.9,D,2023-10-10
5301,1.57,61.97,34.569,69256000,43.73,14.4,3.1,D,2023-10-10
0051,0.0,0.0,-23.846,-3431326,0.0,-6.007,-0.6,D,2023-10-10
9423,2.21,15.2,8.985,-22453298,9.54,5.831,3.7,C,2023-10-10
7157,0.0,0.0,20.583,2195416,0.0,-1.962,-0.2,D,2023-10-10
5184,0.0,0.0,-18.203,-301147000,0.0,-25.242,12.5,D,2023-10-10
7204,0.38,27.17,12.423,-237596000,185.15,4.883,4.7,D,2023-10-10
4456,0.0,0.0,12.062,360726000,0.0,-6.501,17.7,D,2023-10-10
5276,4.82,46.51,13.689,7905622,8.82,10.347,4.4,C,2023-10-10
8338,0.0,0.0,-60.778,-21304000,0.0,-26.931,-2.6,D,2023-10-10
5216,5.16,68.26,31.861,69423000,15.4,23.715,2.7,C,2023-10-10
5141,3.11,30.43,23.113,147845000,18.66,7.856,10.5,C,2023-10-10
5132,3.6,47.47,8.189,13382791,8.99,11.598,10.5,C,2023-10-10
7212,0.0,0.0,-19.493,68122652,0.0,-24.865,-1.8,D,2023-10-10
5165,0.0,0.0,-2.794,3710841,0.0,-2.698,0.6,D,2023-10-10
0152,0.0,0.0,-36.922,-37501354,0.0,-11.705,-1.4,D,2023-10-10
7277,2.22,38.25,8.735,109370000,24.1,8.781,9.0,C,2023-10-10
6947,2.93,136.31,45.075,1671135000,47.23,11.606,9.4,D,2023-10-10
0029,0.0,0.0,28.294,29657284,0.0,-3.899,-1.9,D,2023-10-10
0131,0.0,0.0,13.313,7452715,18.06,18.301,0.7,D,2023-10-10
7528,1.42,18.06,16.653,978031,12.7,3.652,13.1,D,2023-10-10
5908,3.31,40.84,2.528,97548000,7.14,12.788,66.1,C,2023-10-10
7114,0.0,0.0,-0.496,-10059083,0.0,-3.822,-0.1,D,2023-10-10
5265,0.0,0.0,-45.77,-8472515,0.0,-29.931,-0.6,D,2023-10-10
7169,3.9,45.52,2.905,17448528,11.75,3.078,6.6,C,2023-10-10
0205,1.22,100.0,5.433,-6874291,51.12,3.489,0.4,D,2023-10-10
7198,0.0,0.0,10.775,-9417543,19.84,2.76,2.2,D,2023-10-10
1619,1.4,20.83,4.276,-651457000,15.21,2.454,9.7,D,2023-10-10
0269,1.81,0.0,16.906,25144890,25.26,0.0,2.2,D,2023-10-10
7233,3.24,102.52,48.789,21633308,28.23,9.989,12.6,D,2023-10-10
7148,1.92,31.99,13.24,-756000,15.82,10.47,7.4,D,2023-10-10
3948,0.0,0.0,2.65,-19347000,25.94,0.86,1.2,D,2023-10-10
3026,2.22,86.66,2.974,29030000,0.0,14.12,1.6,D,2023-10-10
03046,2.67,97.56,30.707,3776576,34.26,14.288,2.6,D,2023-10-10
5259,0.0,0.0,21.452,12856000,2.96,142.58,3.8,D,2023-10-10
0154,0.0,0.0,2.648,-11507685,0.0,-22.936,-0.3,D,2023-10-10
3417,0.0,0.0,1.179,-130810000,15.47,4.379,1.8,D,2023-10-10
0267,0.0,0.0,31.081,444523,34.78,0.0,1.4,D,2023-10-10
2143,0.0,0.0,-11.177,2249000,3.68,16.721,-0.5,D,2023-10-10
8206,5.56,78.37,15.183,932853000,17.45,3.502,5.3,D,2023-10-10
5283,90.41,0.0,-17.193,107168000,0.0,-7.454,-9.8,D,2023-10-10
0059,0.0,0.0,-20.291,-2716890,0.0,-31.74,-7.9,D,2023-10-10
3557,0.0,0.0,103.194,-2153000,29.96,2.699,1.1,D,2023-10-10
0239,1.42,29.41,16.16,2281095,48.73,13.609,1.8,D,2023-10-10
0227,0.0,0.0,22.207,3980512,25.19,17.005,3.5,D,2023-10-10
5253,0.0,0.0,-2.473,-31903000,0.0,-3.979,-1.1,D,2023-10-10
0255,0.0,0.0,-9.016,-26200247,0.0,-16.367,-3.2,D,2023-10-10
5036,3.4,86.63,6.431,-7941519,14.87,6.819,3.5,D,2023-10-10
7471,0.0,0.0,2.642,1779000,3.0,10.619,5.7,D,2023-10-10
0107,0.0,0.0,-190.715,-551566,18.4,3.594,-0.1,D,2023-10-10
0064,0.0,0.0,-9.116,-8048783,145.67,0.746,-0.2,D,2023-10-10
8907,0.0,0.0,4.443,-78091000,15.91,9.401,9.0,D,2023-10-10
5208,3.62,88.65,3.107,23525000,25.18,3.533,6.8,D,2023-10-10
8877,0.0,0.0,20.718,-101738000,0.0,-4.703,-4.1,D,2023-10-10
9016,0.0,0.0,-37.369,27890067,13.97,1.643,-11.1,D,2023-10-10
5228,5.22,76.56,40.015,-73831511,15.06,8.404,10.5,D,2023-10-10
0090,3.81,33.5,15.053,11782055,8.71,32.277,6.3,C,2023-10-10
9091,0.0,0.0,15.032,6055564,17.2,4.451,0.3,D,2023-10-10
6076,0.0,0.0,34.441,113432000,0.0,-4.521,-6.4,D,2023-10-10
03025,0.0,0.0,7.068,-1266723,9.08,26.331,1.3,D,2023-10-10
7149,0.0,0.0,-4.74,-4351900,0.0,-3.836,-3.2,D,2023-10-10
5056,0.0,0.0,2.159,-61399000,57.64,0.564,7.5,D,2023-10-10
8613,0.0,0.0,-107.799,-16113000,0.0,-24.193,-18.9,D,2023-10-10
7217,2.5,0.0,-5.917,30008869,0.0,1.144,7.1,D,2023-10-10
7773,0.0,0.0,4.096,-44237000,9.78,6.629,0.2,D,2023-10-10
03021,0.0,0.0,-162.74,-2331763,0.0,-88.517,-1.2,D,2023-10-10
0100,0.0,0.0,8.776,30017848,5.14,16.15,4.5,D,2023-10-10
5081,3.28,0.0,-0.386,10393000,0.0,-2.186,-2.4,D,2023-10-10
6815,1.69,10.2,16.649,-128743000,4.99,5.181,20.4,D,2023-10-10
7208,0.0,0.0,-10.977,-7228000,0.0,-18.891,-2.7,D,2023-10-10
7094,0.0,0.0,-19.171,-7864218,0.0,-16.967,-13.8,D,2023-10-10
0174,0.0,0.0,8.432,-12503103,0.0,7.558,0.4,D,2023-10-10
5101,0.0,0.0,-4.666,52416514,0.0,-7.338,-3.1,D,2023-10-10
0190,0.0,0.0,1.452,-5363070,0.0,-1.138,-1.9,D,2023-10-10
5205,0.0,0.0,-1.672,74301000,0.0,-58.002,-46.3,D,2023-10-10
7249,0.0,104.17,8.368,11216936,295.6,0.572,-0.2,D,2023-10-10
0065,2.6,65.79,37.002,17664967,32.16,6.843,2.2,C,2023-10-10
2984,2.0,35.47,2.479,2988858,15.67,3.275,8.4,C,2023-10-10
7047,3.39,61.35,-10.91,-14467000,0.0,-3.816,-1.9,C,2023-10-10
5029,4.86,95.74,15.781,138310642,19.43,8.372,36.6,D,2023-10-10
6041,0.0,0.0,-127.617,1239660,0.0,-16.533,-7.1,D,2023-10-10
5306,0.83,48.42,8.34,-163387545,56.08,6.596,2.7,D,2023-10-10
0084,0.0,0.0,-2.232,-6182672,0.0,-5.249,-3.4,D,2023-10-10
7229,2.19,41.43,13.268,13889000,9.56,6.963,16.5,C,2023-10-10
2755,0.0,0.0,-2.758,-1696000,10.03,11.738,9.6,D,2023-10-10
8605,1.13,0.0,16.4,-10544715,7.48,10.372,7.4,D,2023-10-10
5222,10.79,93.88,3.942,1462209000,8.67,9.979,36.4,D,2023-10-10
6939,0.0,0.0,12.206,14980000,7.31,10.472,7.4,D,2023-10-10
0149,2.78,13.58,21.441,1347000,8.58,8.683,5.0,C,2023-10-10
03026,0.0,0.0,0.0,-1458622,0.0,14.12,1.6,D,2023-10-10
3107,7.02,110.13,11.971,21350000,15.76,4.575,15.2,D,2023-10-10
0150,0.0,0.0,-48.451,-99913213,0.0,-14.622,-0.5,D,2023-10-10
9318,0.0,0.0,-18.604,122959000,0.0,-17.292,-9.2,D,2023-10-10
0231,0.0,0.0,-3.337,-12888146,0.0,-8.738,-1.4,D,2023-10-10
7210,10.26,47.68,7.114,22189000,7.91,11.268,7.5,C,2023-10-10
0116,0.0,0.0,-5.126,34051098,0.0,-12.292,-0.2,D,2023-10-10
5197,12.54,88.04,6.689,52031659,13.36,4.468,13.3,D,2023-10-10
0157,3.85,36.19,19.497,60135000,10.7,33.638,7.8,C,2023-10-10
9172,7.58,60.83,11.582,137184648,7.71,19.974,41.4,C,2023-10-10
5277,3.7,71.43,12.158,12417546,24.82,8.681,1.7,C,2023-10-10
3689,2.13,44.25,12.667,-93147000,18.6,16.288,104.3,C,2023-10-10
0128,1.33,55.05,32.016,90203104,42.54,21.888,7.8,D,2023-10-10
9377,0.0,0.0,31.411,-5709000,15.9,31.619,1.5,D,2023-10-10
7676,0.0,0.0,-24.468,-30797054,0.0,-15.908,-5.8,D,2023-10-10
7184,0.0,0.0,-17.337,-8708116,0.0,-8.309,-0.3,D,2023-10-10
5226,0.0,0.0,6.331,-30925090,15.25,3.218,3.1,D,2023-10-10
9261,2.06,0.0,-4.143,10428000,0.0,-3.625,-4.0,D,2023-10-10
0206,0.0,0.0,-4.47,9356000,0.0,-1.444,-0.4,D,2023-10-10
5398,2.71,39.58,9.212,255054000,6.21,7.216,31.6,C,2023-10-10
5209,4.72,77.02,6.208,473928000,10.07,31.763,30.3,D,2023-10-10
0198,0.0,0.0,1.894,-35288464,24.73,5.023,1.8,D,2023-10-10
0078,0.83,0.0,-6.046,3979907,0.0,-6.605,-0.3,D,2023-10-10
0104,0.0,0.0,27.736,17678733,25.71,22.382,9.2,D,2023-10-10
3182,3.6,283.19,18.715,4877800000,74.39,0.67,-7.8,D,2023-10-10
4715,5.98,0.0,12.991,1679000000,0.0,-2.782,-9.2,D,2023-10-10
2291,2.96,70.68,11.963,586937000,19.39,4.521,52.5,C,2023-10-10
3204,3.96,0.0,7.2,23392000,0.0,-0.9,0.1,D,2023-10-10
7197,0.0,0.0,5.31,25761000,19.26,6.32,9.1,D,2023-10-10
0039,2.0,11.84,35.604,25334014,6.23,13.425,3.2,C,2023-10-10
0021,3.11,95.06,10.323,-60613695,30.5,5.711,2.5,D,2023-10-10
1147,0.0,0.0,6.1,14595000,0.0,-0.836,2.5,D,2023-10-10
5220,3.03,38.39,6.267,10716000,16.01,3.694,3.8,C,2023-10-10
7022,1.92,57.03,25.541,47504000,28.72,11.728,6.8,D,2023-10-10
5020,3.33,37.88,18.955,100722434,9.02,2.697,4.1,C,2023-10-10
7382,0.0,0.0,-18.255,-12219741,0.0,-3.494,-6.2,D,2023-10-10
5649,8.95,31.4,20.741,10777000,4.0,16.218,8.3,C,2023-10-10
2135,2.86,0.0,-75.664,-1483337,0.0,-1.156,-0.9,D,2023-10-10
03029,0.0,0.0,-14.661,-489084,0.0,-465.663,-6.9,D,2023-10-10
5592,0.0,0.0,-27.07,1513429,0.0,-2.17,-1.7,D,2023-10-10
0208,0.0,0.0,19.708,8320112,38.35,25.112,10.5,D,2023-10-10
0074,0.0,0.0,-132.422,-12414073,0.0,-9.857,-1.0,D,2023-10-10
0082,0.0,0.0,-6.891,-108744000,0.0,-39.029,-12.1,D,2023-10-10
0136,0.0,0.0,-10.935,142632,4.07,22.776,8.6,D,2023-10-10
9962,5.0,15.87,24.164,13000439,9.83,3.066,2.4,C,2023-10-10
5102,0.0,23.07,3.968,2886248,23.69,6.404,13.5,D,2023-10-10
3247,0.0,0.0,-1.688,3782000,0.0,-2.126,-1.5,D,2023-10-10
1503,2.74,31.43,16.163,-1089000,16.62,2.186,4.3,C,2023-10-10
0237,2.77,30.52,3.809,-7541486,10.91,8.172,3.7,C,2023-10-10
7253,0.0,0.0,-60.846,3507544,12.21,8.379,0.1,D,2023-10-10
3034,6.82,54.35,11.662,-718156000,7.41,17.499,38.2,C,2023-10-10
5138,4.52,128.62,17.056,167054000,20.05,3.891,26.3,D,2023-10-10
2062,4.74,11.58,17.876,143707782,3.0,22.234,38.0,A,2023-10-10
7501,0.0,0.0,2.938,-13081738,348.84,0.812,-4.4,D,2023-10-10
5008,5.97,28.45,4.495,-25379000,8.1,16.987,97.5,C,2023-10-10
5168,0.0,0.0,-2.072,-344007000,0.0,-7.767,-6.9,D,2023-10-10
0060,0.0,0.0,-17.929,39019797,0.0,-8.417,-0.7,D,2023-10-10
5187,0.0,0.0,-168.654,-4231000,0.0,-58.588,-13.7,D,2023-10-10
7105,0.0,0.0,17.22,55576000,70.48,6.54,2.0,D,2023-10-10
3255,5.67,100.72,20.485,289037000,17.2,104.88,136.7,D,2023-10-10
5028,0.0,0.0,7.872,-17535000,0.0,-20.274,-9.8,D,2023-10-10
5121,13.22,53.73,47.29,35382149,4.21,12.118,15.8,C,2023-10-10
0175,0.0,0.0,24.064,33993044,7.71,17.07,3.2,D,2023-10-10
4324,3.07,0.0,-9.266,-133841000,0.0,-68.977,-52.5,D,2023-10-10
5095,3.38,0.0,-0.718,2890000,0.0,-1.264,1.6,D,2023-10-10
5151,1.31,28.57,12.505,91303080,80.37,16.393,1.3,D,2023-10-10
7803,0.0,0.0,-36.309,-34958894,0.0,-11.514,-6.2,D,2023-10-10
0161,5.06,0.0,10.41,-15589968,7.73,46.864,0.4,D,2023-10-10
