stock_code,rDY,rPR,rOM,rCF,rPE,rROE,rEPS,rClass
2305,0.027,0.36,0.412,35169000,13.13,7.453,0.472,C
5021,0.025,0.144,0.041,4307000,6.43,6.279,0.096,C
7005,0.0,0.0,0.039,-509511,16.61,6.722,0.042,D
03012,0.008,0.205,0.155,-1449012,27.41,6.639,0.024,D
0098,0.0,0.0,-0.041,10484126,0.0,-9.604,0.007,D
5258,0.032,0.579,0.334,1849055000,9.02,7.478,0.229,C
7251,0.0,0.0,0.025,-30055000,13.58,294.519,0.004,D
1899,0.054,0.655,0.091,1547297000,12.14,8.685,2.981,C
6602,0.0,0.0,0.215,69995237,4.99,4.867,0.061,D
0187,0.0,0.0,-0.1,-51528204,0.0,-6.977,-0.014,D
5190,0.0,0.0,-0.533,24561746,0.0,-11.103,-0.049,D
3239,0.0,0.0,0.207,20366000,0.0,-1.277,-0.009,D
3395,0.0,0.0,0.063,258289000,0.0,-1.91,-0.021,D
5196,0.047,1.854,0.165,252920000,11.65,21.087,0.059,D
4219,0.0,0.0,0.064,78595000,9.09,3.93,0.03,D
5248,0.08,0.475,0.101,102664000,7.87,52.127,0.263,A
9814,0.0,0.0,0.057,-1787759,1.23,15.345,0.062,D
7668,0.039,2.046,0.1,7684589,18.8,5.197,0.054,D
0263,0.033,0.138,0.129,23557113,12.59,0.0,0.036,C
6173,0.015,0.0,0.038,16429000,0.0,-0.1,0.018,D
5932,0.0,0.0,-0.771,16521000,0.0,-87.474,-0.058,D
0195,0.0,0.0,0.089,-3636418,36.57,3.501,0.012,D
6998,0.0,0.0,-1.15,-1038000,0.0,-35.516,-0.061,D
5032,0.024,0.582,0.273,386135000,21.21,6.337,0.278,C
0179,0.0,0.0,-1.595,-19664053,0.0,-32.808,-0.038,D
5069,0.003,0.258,0.015,178456551,56.82,2.486,0.324,D
0168,0.019,0.478,0.066,11451623,25.87,7.763,0.027,D
9288,0.045,0.284,0.202,93728000,6.47,12.549,0.274,C
7036,0.0,0.0,0.561,19558927,0.0,-1.48,-0.001,D
8133,0.0,0.0,-0.023,-34682000,0.0,-37.534,-0.08,D
5254,0.027,2.095,0.06,248016000,38.52,2.963,0.266,D
6297,0.0,0.0,0.008,76863350,0.0,-9.891,-0.05,D
5100,0.049,0.534,0.065,15262297,12.44,11.568,0.108,C
9938,0.0,0.0,-0.029,-11371304,0.0,-1.451,-0.012,D
0011,0.03,0.271,0.439,2729480,9.16,9.012,0.03,C
4162,0.081,1.067,0.328,362859000,12.38,59.097,0.919,D
7221,0.0,0.0,-0.084,4395337,0.0,-15.331,0.008,D
7188,0.0,0.0,-2.235,-1806852,0.0,-45.289,-0.041,D
5210,0.0,0.0,0.425,1427282000,4.74,12.908,0.124,D
1818,0.044,0.923,0.524,194339000,24.05,28.398,0.28,D
03042,0.0,0.0,0.3,2415244,0.0,17.668,0.037,D
2828,0.048,0.194,0.035,64188000,5.45,27.18,0.62,C
7174,0.0,0.0,0.086,105966641,4.34,18.982,0.083,D
0191,0.0,0.0,0.016,481048,117.95,0.777,0.007,D
2852,0.026,0.132,0.012,-49725000,4.66,7.761,0.267,C
7128,0.0,0.132,0.055,12393678,4.96,10.701,0.085,D
5105,0.015,0.314,0.036,185456000,21.74,1.327,0.477,D
5311,0.005,0.0,0.1,-13332387,0.0,0.0,0.036,D
5099,0.0,0.0,-0.046,-372832000,10.76,0.0,-0.648,D
5180,0.072,2.424,0.473,140912000,28.29,1.917,0.023,D
0163,0.0,0.0,-0.627,58822278,0.0,-43.271,0.394,D
5257,0.022,0.0,0.113,-17948000,9.31,12.697,0.099,D
03016,0.046,0.216,0.292,18134058,7.26,25.043,0.03,C
2836,0.044,0.859,0.172,266250000,19.9,184.723,1.037,D
03048,0.0,0.0,-0.242,-3346479,0.0,-934.765,0.004,D
0173,0.0,0.0,0.146,-1168352,0.0,3.187,-0.009,D
7076,0.036,0.0,-0.051,-41897000,0.0,-2.666,-0.012,D
03053,0.029,2.506,0.147,-42265,52.87,5.11,0.01,D
7035,0.044,0.297,0.06,11780683,7.01,20.585,0.101,C
03024,0.001,0.018,0.173,7208592,0.0,13.024,0.069,D
0238,0.016,0.385,0.136,4771887,18.42,7.314,0.026,D
0243,0.029,0.349,0.258,13626809,23.6,13.352,0.016,C
5195,0.032,0.915,0.076,3750000,31.37,4.556,0.011,D
8052,0.0,0.0,0.077,-13161751,52.64,7.343,0.063,D
8982,0.043,0.837,0.08,49060000,28.63,1.88,0.102,D
7209,0.0,0.0,-0.116,278242,0.0,-14.123,-0.038,D
5273,0.0,0.0,0.027,-14111305,84.34,12.531,0.055,D
7187,0.0,0.0,0.047,-21740254,17.77,10.778,0.016,D
1929,0.021,0.231,0.278,76185147,11.08,7.569,1.177,C
5007,0.01,0.619,0.1,111313372,10.02,5.865,0.138,D
5188,0.0,0.0,-2.224,173000,0.0,-16.574,-0.024,D
5797,0.027,0.0,-0.058,44927000,0.0,-2.508,0.052,D
7016,0.0,0.0,0.009,-31320175,0.0,-0.739,-0.014,D
1023,0.064,0.449,0.483,7187992000,9.84,9.661,0.521,C
7245,0.0,0.0,-0.145,-5108000,0.0,-15.093,-0.173,D
5104,0.0,0.0,0.007,1766950,0.0,-3.051,-0.002,D
7117,0.038,0.455,0.032,101878000,12.9,4.349,0.048,C
7202,0.156,1.375,0.222,3820089,16.09,8.031,0.045,D
7154,0.0,0.0,-0.209,397571,0.0,-9.94,-0.029,D
03001,0.0,0.0,-0.008,-7211624,0.0,-1.502,-0.001,D
7018,0.0,0.0,-0.041,-1831000,0.0,-3.158,-0.005,D
7986,0.0,0.0,-0.509,-31979761,0.0,-48.631,-0.1,D
0246,0.026,0.0,0.128,14000,14.49,14.062,0.047,D
5071,0.0,0.0,0.256,45243763,2.88,24.26,0.696,B
2127,0.0,0.0,-0.226,-11888995,0.0,-7.691,-0.073,D
7195,0.0,0.0,0.122,-12197000,15.02,80.638,0.086,D
5037,0.0,0.0,-1.182,-4555000,0.0,-7.774,-0.002,D
8044,0.0,0.0,-0.122,-1569771,0.0,-4.236,0.291,D
8435,0.0,0.0,0.038,5364719,50.41,2.548,0.005,D
0240,0.0,0.0,0.108,1910905,24.7,12.84,0.034,D
0261,0.026,0.461,0.08,-13192000,25.37,0.0,0.016,C
5738,0.0,0.0,-0.5,-19779000,0.0,-11.732,-0.286,D
5049,0.054,1.367,0.098,-11565000,22.68,1.241,0.03,D
6718,0.036,0.746,0.128,48244372,15.72,2.618,0.088,C
8591,0.0,0.0,0.025,-446593,0.0,-6.613,-0.092,D
5094,0.025,0.686,-0.008,122660322,28.63,1.835,0.04,C
7165,0.0,0.0,-0.869,-96284866,0.0,-6.738,-0.019,D
5301,0.016,0.62,0.346,69256000,43.73,14.4,0.031,D
0051,0.0,0.0,-0.238,-3431326,0.0,-6.007,-0.006,D
9423,0.022,0.152,0.09,-22453298,9.54,5.831,0.037,C
7157,0.0,0.0,0.206,2195416,0.0,-1.962,-0.002,D
5184,0.0,0.0,-0.182,-301147000,0.0,-25.242,0.125,D
7204,0.004,0.272,0.124,-237596000,185.15,4.883,0.047,D
4456,0.0,0.0,0.121,360726000,0.0,-6.501,0.177,D
5276,0.048,0.465,0.137,7905622,8.82,10.347,0.044,C
8338,0.0,0.0,-0.608,-21304000,0.0,-26.931,-0.026,D
5216,0.052,0.683,0.319,69423000,15.4,23.715,0.027,C
5141,0.031,0.304,0.231,147845000,18.66,7.856,0.105,C
5132,0.036,0.475,0.082,13382791,8.99,11.598,0.105,C
7212,0.0,0.0,-0.195,68122652,0.0,-24.865,-0.018,D
5165,0.0,0.0,-0.028,3710841,0.0,-2.698,0.006,D
0152,0.0,0.0,-0.369,-37501354,0.0,-11.705,-0.014,D
7277,0.022,0.382,0.087,109370000,24.1,8.781,0.09,C
6947,0.029,1.363,0.451,1671135000,47.23,11.606,0.094,D
0029,0.0,0.0,0.283,29657284,0.0,-3.899,-0.019,D
0131,0.0,0.0,0.133,7452715,18.06,18.301,0.007,D
7528,0.014,0.181,0.167,978031,12.7,3.652,0.131,D
5908,0.033,0.408,0.025,97548000,7.14,12.788,0.661,C
7114,0.0,0.0,-0.005,-10059083,0.0,-3.822,-0.001,D
5265,0.0,0.0,-0.458,-8472515,0.0,-29.931,-0.006,D
7169,0.039,0.455,0.029,17448528,11.75,3.078,0.066,C
0205,0.012,1.0,0.054,-6874291,51.12,3.489,0.004,D
7198,0.0,0.0,0.108,-9417543,19.84,2.76,0.022,D
1619,0.014,0.208,0.043,-651457000,15.21,2.454,0.097,D
0269,0.018,0.0,0.169,25144890,25.26,0.0,0.022,D
7233,0.032,1.025,0.488,21633308,28.23,9.989,0.126,D
7148,0.019,0.32,0.132,-756000,15.82,10.47,0.074,D
3948,0.0,0.0,0.027,-19347000,25.94,0.86,0.012,D
3026,0.022,0.867,0.03,29030000,0.0,14.12,0.016,D
03046,0.027,0.976,0.307,3776576,34.26,14.288,0.026,D
5259,0.0,0.0,0.215,12856000,2.96,142.58,0.038,D
0154,0.0,0.0,0.026,-11507685,0.0,-22.936,-0.003,D
3417,0.0,0.0,0.012,-130810000,15.47,4.379,0.018,D
0267,0.0,0.0,0.311,444523,34.78,0.0,0.014,D
2143,0.0,0.0,-0.112,2249000,3.68,16.721,-0.005,D
8206,0.056,0.784,0.152,932853000,17.45,3.502,0.053,D
5283,0.904,0.0,-0.172,107168000,0.0,-7.454,-0.098,D
0059,0.0,0.0,-0.203,-2716890,0.0,-31.74,-0.079,D
3557,0.0,0.0,1.032,-2153000,29.96,2.699,0.011,D
0239,0.014,0.294,0.162,2281095,48.73,13.609,0.018,D
0227,0.0,0.0,0.222,3980512,25.19,17.005,0.035,D
5253,0.0,0.0,-0.025,-31903000,0.0,-3.979,-0.011,D
0255,0.0,0.0,-0.09,-26200247,0.0,-16.367,-0.032,D
5036,0.034,0.866,0.064,-7941519,14.87,6.819,0.035,D
7471,0.0,0.0,0.026,1779000,3.0,10.619,0.057,D
0107,0.0,0.0,-1.907,-551566,18.4,3.594,-0.001,D
0064,0.0,0.0,-0.091,-8048783,145.67,0.746,-0.002,D
8907,0.0,0.0,0.044,-78091000,15.91,9.401,0.09,D
5208,0.036,0.886,0.031,23525000,25.18,3.533,0.068,D
8877,0.0,0.0,0.207,-101738000,0.0,-4.703,-0.041,D
9016,0.0,0.0,-0.374,27890067,13.97,1.643,-0.111,D
5228,0.052,0.766,0.4,-73831511,15.06,8.404,0.105,D
0090,0.038,0.335,0.151,11782055,8.71,32.277,0.063,C
9091,0.0,0.0,0.15,6055564,17.2,4.451,0.003,D
6076,0.0,0.0,0.344,113432000,0.0,-4.521,-0.064,D
03025,0.0,0.0,0.071,-1266723,9.08,26.331,0.013,D
7149,0.0,0.0,-0.047,-4351900,0.0,-3.836,-0.032,D
5056,0.0,0.0,0.022,-61399000,57.64,0.564,0.075,D
8613,0.0,0.0,-1.078,-16113000,0.0,-24.193,-0.189,D
7217,0.025,0.0,-0.059,30008869,0.0,1.144,0.071,D
7773,0.0,0.0,0.041,-44237000,9.78,6.629,0.002,D
03021,0.0,0.0,-1.627,-2331763,0.0,-88.517,-0.012,D
0100,0.0,0.0,0.088,30017848,5.14,16.15,0.045,D
5081,0.033,0.0,-0.004,10393000,0.0,-2.186,-0.024,D
6815,0.017,0.102,0.166,-128743000,4.99,5.181,0.204,D
7208,0.0,0.0,-0.11,-7228000,0.0,-18.891,-0.027,D
7094,0.0,0.0,-0.192,-7864218,0.0,-16.967,-0.138,D
0174,0.0,0.0,0.084,-12503103,0.0,7.558,0.004,D
5101,0.0,0.0,-0.047,52416514,0.0,-7.338,-0.031,D
0190,0.0,0.0,0.015,-5363070,0.0,-1.138,-0.019,D
5205,0.0,0.0,-0.017,74301000,0.0,-58.002,-0.463,D
7249,0.0,1.042,0.084,11216936,295.6,0.572,-0.002,D
0065,0.026,0.658,0.37,17664967,32.16,6.843,0.022,C
2984,0.02,0.355,0.025,2988858,15.67,3.275,0.084,C
7047,0.034,0.614,-0.109,-14467000,0.0,-3.816,-0.019,C
5029,0.049,0.957,0.158,138310642,19.43,8.372,0.366,D
6041,0.0,0.0,-1.276,1239660,0.0,-16.533,-0.071,D
5306,0.008,0.484,0.083,-163387545,56.08,6.596,0.027,D
0084,0.0,0.0,-0.022,-6182672,0.0,-5.249,-0.034,D
7229,0.022,0.414,0.133,13889000,9.56,6.963,0.165,C
2755,0.0,0.0,-0.028,-1696000,10.03,11.738,0.096,D
8605,0.011,0.0,0.164,-10544715,7.48,10.372,0.074,D
5222,0.108,0.939,0.039,1462209000,8.67,9.979,0.364,D
6939,0.0,0.0,0.122,14980000,7.31,10.472,0.074,D
0149,0.028,0.136,0.214,1347000,8.58,8.683,0.05,C
03026,0.0,0.0,0.0,-1458622,0.0,14.12,0.016,D
3107,0.07,1.101,0.12,21350000,15.76,4.575,0.152,D
0150,0.0,0.0,-0.485,-99913213,0.0,-14.622,-0.005,D
9318,0.0,0.0,-0.186,122959000,0.0,-17.292,-0.092,D
0231,0.0,0.0,-0.033,-12888146,0.0,-8.738,-0.014,D
7210,0.103,0.477,0.071,22189000,7.91,11.268,0.075,C
0116,0.0,0.0,-0.051,34051098,0.0,-12.292,-0.002,D
5197,0.125,0.88,0.067,52031659,13.36,4.468,0.133,D
0157,0.038,0.362,0.195,60135000,10.7,33.638,0.078,C
9172,0.076,0.608,0.116,137184648,7.71,19.974,0.414,C
5277,0.037,0.714,0.122,12417546,24.82,8.681,0.017,C
3689,0.021,0.442,0.127,-93147000,18.6,16.288,1.043,C
0128,0.013,0.55,0.32,90203104,42.54,21.888,0.078,D
9377,0.0,0.0,0.314,-5709000,15.9,31.619,0.015,D
7676,0.0,0.0,-0.245,-30797054,0.0,-15.908,-0.058,D
7184,0.0,0.0,-0.173,-8708116,0.0,-8.309,-0.003,D
5226,0.0,0.0,0.063,-30925090,15.25,3.218,0.031,D
9261,0.021,0.0,-0.041,10428000,0.0,-3.625,-0.04,D
0206,0.0,0.0,-0.045,9356000,0.0,-1.444,-0.004,D
5398,0.027,0.396,0.092,255054000,6.21,7.216,0.316,C
5209,0.047,0.77,0.062,473928000,10.07,31.763,0.303,D
0198,0.0,0.0,0.019,-35288464,24.73,5.023,0.018,D
0078,0.008,0.0,-0.06,3979907,0.0,-6.605,-0.003,D
0104,0.0,0.0,0.277,17678733,25.71,22.382,0.092,D
3182,0.036,2.832,0.187,4877800000,74.39,0.67,-0.078,D
4715,0.06,0.0,0.13,1679000000,0.0,-2.782,-0.092,D
2291,0.03,0.707,0.12,586937000,19.39,4.521,0.525,C
3204,0.04,0.0,0.072,23392000,0.0,-0.9,0.001,D
7197,0.0,0.0,0.053,25761000,19.26,6.32,0.091,D
0039,0.02,0.118,0.356,25334014,6.23,13.425,0.032,C
0021,0.031,0.951,0.103,-60613695,30.5,5.711,0.025,D
1147,0.0,0.0,0.061,14595000,0.0,-0.836,0.025,D
5220,0.03,0.384,0.063,10716000,16.01,3.694,0.038,C
7022,0.019,0.57,0.255,47504000,28.72,11.728,0.068,D
5020,0.033,0.379,0.19,100722434,9.02,2.697,0.041,C
7382,0.0,0.0,-0.183,-12219741,0.0,-3.494,-0.062,D
5649,0.089,0.314,0.207,10777000,4.0,16.218,0.083,C
2135,0.029,0.0,-0.757,-1483337,0.0,-1.156,-0.009,D
03029,0.0,0.0,-0.147,-489084,0.0,-465.663,-0.069,D
5592,0.0,0.0,-0.271,1513429,0.0,-2.17,-0.017,D
0208,0.0,0.0,0.197,8320112,38.35,25.112,0.105,D
0074,0.0,0.0,-1.324,-12414073,0.0,-9.857,-0.01,D
0082,0.0,0.0,-0.069,-108744000,0.0,-39.029,-0.121,D
0136,0.0,0.0,-0.109,142632,4.07,22.776,0.086,D
9962,0.05,0.159,0.242,13000439,9.83,3.066,0.024,C
5102,0.0,0.231,0.04,2886248,23.69,6.404,0.135,D
3247,0.0,0.0,-0.017,3782000,0.0,-2.126,-0.015,D
1503,0.027,0.314,0.162,-1089000,16.62,2.186,0.043,C
0237,0.028,0.305,0.038,-7541486,10.91,8.172,0.037,C
7253,0.0,0.0,-0.608,3507544,12.21,8.379,0.001,D
3034,0.068,0.544,0.117,-718156000,7.41,17.499,0.382,C
5138,0.045,1.286,0.171,167054000,20.05,3.891,0.263,D
2062,0.047,0.116,0.179,143707782,3.0,22.234,0.38,A
7501,0.0,0.0,0.029,-13081738,348.84,0.812,-0.044,D
5008,0.06,0.284,0.045,-25379000,8.1,16.987,0.975,C
5168,0.0,0.0,-0.021,-344007000,0.0,-7.767,-0.069,D
0060,0.0,0.0,-0.179,39019797,0.0,-8.417,-0.007,D
5187,0.0,0.0,-1.687,-4231000,0.0,-58.588,-0.137,D
7105,0.0,0.0,0.172,55576000,70.48,6.54,0.02,D
3255,0.057,1.007,0.205,289037000,17.2,104.88,1.367,D
5028,0.0,0.0,0.079,-17535000,0.0,-20.274,-0.098,D
5121,0.132,0.537,0.473,35382149,4.21,12.118,0.158,C
0175,0.0,0.0,0.241,33993044,7.71,17.07,0.032,D
4324,0.031,0.0,-0.093,-133841000,0.0,-68.977,-0.525,D
5095,0.034,0.0,-0.007,2890000,0.0,-1.264,0.016,D
5151,0.013,0.286,0.125,91303080,80.37,16.393,0.013,D
7803,0.0,0.0,-0.363,-34958894,0.0,-11.514,-0.062,D
0161,0.051,0.0,0.104,-15589968,7.73,46.864,0.004,D
5136,0.0,16.667,0.022,-9778930,992.9,2.091,0.032,D
3298,0.042,1.212,0.115,-1940020,29.49,2.026,0.031,D
0160,0.0,0.0,0.09,4770796,9.66,6.396,0.021,D
5072,0.023,1.389,0.003,-208272000,55.93,1.026,0.09,D
5199,0.027,0.104,0.32,749909000,5.43,16.375,0.199,C
8443,0.02,0.241,0.2,29549821,12.55,6.635,0.072,C
0188,0.0,0.0,-0.243,-3384839,0.0,-36.384,-0.073,D
5169,0.0,0.0,0.166,-20523000,0.0,-4.686,-0.065,D
9601,0.0,0.0,0.004,-16965000,0.0,-4.704,-0.009,D
5160,0.052,0.317,0.197,44857196,7.84,11.348,0.096,C
5819,0.03,0.311,0.61,7452976000,10.68,11.753,1.863,C
5274,0.032,0.901,0.373,455095000,25.76,5.222,0.212,D
1082,0.027,0.192,0.603,161573000,7.3,10.932,2.461,C
3301,0.064,0.588,0.12,345721000,9.63,14.776,0.924,C
0041,0.0,0.0,-6.278,-132847103,0.0,-7.285,0.014,D
5291,0.016,0.395,0.101,-265000,17.43,5.133,0.025,D
0228,0.039,0.626,0.165,11776999,17.11,7.854,0.024,C
0185,0.012,0.251,0.139,-1364227,20.27,7.553,0.031,D
5062,0.0,0.0,0.135,20590362,24.23,1.115,0.008,D
7013,0.0,0.0,-0.003,14523880,26.14,3.767,0.003,D
5000,0.0,0.0,0.098,684000,19.58,15.068,0.084,D
5024,0.057,0.924,0.132,18615321,16.16,24.38,0.033,D
8478,0.0,0.0,-0.078,-8210665,0.0,-30.021,-0.078,D
4251,0.007,0.0,0.042,-4717000,12.41,2.31,0.023,D
5084,0.034,0.234,0.228,12192698,7.27,9.889,0.056,C
5255,0.0,0.0,0.026,114469773,1.79,42.208,0.062,D
9113,0.0,0.0,-0.185,-4174000,0.0,-15.956,-0.044,D
03038,0.0,0.0,0.092,-21145692,22.88,15.75,0.01,D
03030,0.01,0.312,0.392,1341987,74.91,28.291,0.003,D
9687,0.005,0.0,0.109,-24048283,25.93,6.406,0.079,D
0023,0.0,0.0,0.017,2241814,103.45,1.576,-0.007,D
5606,0.063,0.192,0.468,357726000,12.38,6.073,0.118,C
5299,0.065,1.326,0.5,113533000,19.22,2.619,0.027,D
5227,0.056,0.901,0.666,424373000,14.65,10.531,0.111,D
5225,0.018,0.29,0.151,1951396000,24.62,7.704,0.17,D
3336,0.032,0.936,0.19,904959000,27.75,2.119,0.045,D
5614,0.0,0.0,0.043,-3918510,10.85,5.217,0.001,D
7222,0.006,5.645,0.053,-973478,251.56,1.237,0.022,D
7243,0.0,0.0,-0.07,700691,0.0,-27.87,-0.054,D
0166,0.028,0.999,0.213,394097000,32.71,12.669,0.087,D
2607,0.0,0.0,-0.705,-1154000,0.0,-1.814,-0.028,D
9393,0.0,0.0,-0.174,-30005132,0.0,-12.111,-0.018,D
0253,0.028,0.442,0.232,5786000,10.93,47.312,0.037,C
0265,0.0,0.0,0.193,46710000,0.0,0.0,0.073,D
7240,0.0,0.0,-0.663,-14888328,0.0,-33.382,-0.063,D
5178,0.0,0.0,0.322,27784777,4.76,23.496,0.021,D
5295,0.067,1.327,0.14,34246000,19.42,11.192,0.03,D
0147,0.0,0.0,-0.039,4777083,0.0,-9.934,-0.001,D
6262,0.072,1.652,0.238,92767708,14.23,13.435,0.173,D
3379,0.028,0.076,-0.023,-34995000,4.92,5.411,0.185,D
0192,0.048,0.287,0.039,-10165202,9.96,9.021,0.018,C
1961,0.025,0.78,0.141,1458400000,22.74,10.004,0.179,D
5249,0.03,0.152,0.492,-827674000,6.28,6.518,0.253,C
5107,0.0,0.0,0.058,1737926,9.38,6.439,0.081,D
7183,0.0,0.0,-0.046,795000,20.0,0.266,0.004,D
8834,0.0,0.0,-9.088,18125055,1.41,277.287,0.354,D
0010,0.0,0.0,0.094,19219000,8.84,8.634,0.007,D
1589,0.0,0.0,-0.025,-295000,0.0,-3.773,-0.035,D
5309,0.004,0.148,0.555,-1453000,13.65,29.924,0.201,D
5175,0.0,0.0,4.783,14592000,0.0,-79.496,-0.256,D
7043,0.0,0.0,-0.74,-42635069,0.0,-17.272,-0.128,D
7223,0.0,0.0,-0.326,5173914,0.0,-11.413,-0.01,D
0024,0.0,0.0,0.048,13417222,37.59,2.353,0.015,D
4723,0.0,0.0,-0.553,-221265470,8.64,3.558,0.026,D
8648,0.0,0.0,-0.054,303279,0.0,-1.527,0.0,D
4383,0.036,0.309,0.243,301496000,5.13,11.588,0.159,C
7152,0.084,0.939,0.127,20152000,8.72,11.797,0.08,D
0058,0.038,0.269,0.631,-3888823,6.77,8.09,0.179,C
5161,0.0,0.0,-0.292,-126569000,0.0,-16.437,-0.042,D
5673,0.0,0.0,-0.562,-53647000,0.0,-4.836,-0.014,D
0146,0.009,0.704,0.22,2419000,75.69,9.297,0.013,D
