stock_name,stock_code
CHIN TECK PLANTATIONS BERHAD,1929
CHIN WELL HOLDINGS BERHAD,5007
CHINA OUHUA WINERY HOLDINGS LIMITED,5188
CHOO BEE METAL INDUSTRIES BHD,5797
CHUAN HUAT RESOURCES BHD,7016
CIMB GROUP HOLDINGS BERHAD,1023
CITAGLOBAL BERHAD,7245
CITRA NUSA HOLDINGS BERHAD,5104
CJ CENTURY LOGISTICS HOLDINGS BERHAD,7117
CLASSIC SCENIC BERHAD,7202
CLASSITA HOLDINGS BERHAD,7154
CLOUDARON GROUP BERHAD,03001
CME GROUP BERHAD,7018
CN ASIA CORPORATION BHD,7986
CNERGENZ BERHAD,0246
COASTAL CONTRACTS BHD,5071
COMFORT GLOVES BERHAD,2127
COMINTEL CORPORATION BHD,7195
COMPUGATES HOLDINGS BERHAD,5037
COMPUTER FORMS (MALAYSIA) BERHAD,8044
CONCRETE ENGINEERING PRODUCTS BERHAD,8435
CORAZA INTEGRATED TECHNOLOGY BERHAD,0240
COSMOS TECHNOLOGY INTERNATIONAL BERHAD,0261
COUNTRY HEIGHTS HOLDINGS BHD,5738
COUNTRY VIEW BERHAD,5049
CRESCENDO CORPORATION BERHAD,6718
CREST BUILDER HOLDINGS BERHAD,8591
CSC STEEL HOLDINGS BERHAD,5094
CSH ALLIANCE BERHAD,7165
CTOS DIGITAL BERHAD,5301
CUSCAPI BERHAD,0051
CWG HOLDINGS BERHAD,9423
CYL CORPORATION BERHAD,7157
CYPARK RESOURCES BERHAD,5184
D & O GREEN TECHNOLOGIES BERHAD,7204
DAGANG NEXCHANGE BERHAD,4456
DAMANSARA HOLDINGS BERHAD,3484
DANAINFRA NASIONAL BERHAD,0400GB
DANCOMECH HOLDINGS BERHAD,5276
DATAPREP HOLDINGS BHD,8338
DATASONIC GROUP BERHAD,5216
DAYANG ENTERPRISE HOLDINGS BERHAD,5141
DELEUM BERHAD,5132
DESTINI BERHAD,7212
DFCITY GROUP BERHAD,5165
DGB ASIA BERHAD,0152
DIALOG GROUP BERHAD,7277
CELCOMDIGI BERHAD,6947
DIGISTAR CORPORATION BERHAD,0029
DIVFEX BERHAD,0131
DKLS INDUSTRIES BHD,7528
DKSH HOLDINGS (MALAYSIA) BERHAD,5908
D'NONCE TECHNOLOGY BHD,7114
DOLOMITE CORPORATION BERHAD,5835
DOLPHIN INTERNATIONAL BERHAD,5265
DOMINANT ENTERPRISE BERHAD,7169
DPI HOLDINGS BERHAD,0205
DPS RESOURCES BERHAD,7198
DRB-HICOM BERHAD,1619
DS SIGMA HOLDINGS BERHAD,0269
DSR TAIKO BERHAD,03055
DUFU TECHNOLOGY CORP. BERHAD,7233
DUOPHARMA BIOTECH BERHAD,7148
DUTALAND BERHAD,3948
DUTCH LADY MILK INDUSTRIES BERHAD,3026
DYNAFRONT HOLDINGS BERHAD,03046
E.A.TECHNIQUE (M) BERHAD,5259
EA HOLDINGS BERHAD,0154
EASTERN & ORIENTAL BERHAD,3417
ECA INTEGRATED SOLUTION BERHAD,0267
ECM LIBRA GROUP BERHAD,2143
ECO WORLD DEVELOPMENT GROUP BERHAD,8206
ECO WORLD INTERNATIONAL BERHAD,5283
ECOBUILT HOLDINGS BERHAD,0059
ECOFIRST CONSOLIDATED BHD,3557
ECOMATE HOLDINGS BERHAD,0239
ECONFRAME BERHAD,0227
ECONPILE HOLDINGS BERHAD,5253
ECOSCIENCE INTERNATIONAL BERHAD,0255
EDARAN BERHAD,5036
EDEN INC. BERHAD,7471
EDUSPEC HOLDINGS BERHAD,0107
EFFICIENT E-SOLUTIONS BERHAD,0064
EG INDUSTRIES BERHAD,8907
EITA RESOURCES BERHAD,5208
EKOVEST BERHAD,8877
EKSONS CORPORATION BERHAD,9016
ELK-DESA RESOURCES BERHAD,5228
ELSOFT RESEARCH BERHAD,0090
EMICO HOLDINGS BERHAD,9091
ENCORP BERHAD,6076
ENEST GROUP BERHAD,03025
ENG KAH CORPORATION BERHAD,7149
ENGTEX GROUP BERHAD,5056
ENRA GROUP BERHAD,8613
EONMETALL GROUP BERHAD,7217
EP MANUFACTURING BHD,7773
EQUITIESTRACKER HOLDINGS BERHAD,03021
ES CERAMICS TECHNOLOGY BHD,0100
ESTHETICS INTERNATIONAL GROUP BERHAD,5081
EUPE CORPORATION BERHAD,6815
EURO HOLDINGS BERHAD,7208
EUROSPAN HOLDINGS BERHAD,7094
EVD BERHAD,0174
EVERGREEN FIBREBOARD BERHAD,5101
EVERSAFE RUBBER BERHAD,0190
EVERSENDAI CORPORATION BERHAD,5205
EWEIN BERHAD,7249
EXCEL FORCE MSC BERHAD,0065
FACB INDUSTRIES INCORPORATED BERHAD,2984
FAJARBARU BUILDER GROUP BHD,7047
FAR EAST HOLDINGS BERHAD,5029
FARLIM GROUP (MALAYSIA) BHD,6041
FARM FRESH BERHAD,5306
FAST ENERGY HOLDINGS BERHAD,0084
FAVELLE FAVCO BERHAD,7229
FCW HOLDINGS BERHAD,2755
FEDERAL INTERNATIONAL HOLDINGS BERHAD,8605
FGV HOLDINGS BERHAD,5222
FIAMMA HOLDINGS BERHAD,6939
FIBON BERHAD,0149
FIBROMAT (M) BERHAD,03026
FIMA CORPORATION BERHAD,3107
FINTEC GLOBAL BERHAD,0150
FITTERS DIVERSIFIED BERHAD,9318
FLEXIDYNAMIC HOLDINGS BERHAD,0231
FM GLOBAL LOGISTICS HOLDINGS BERHAD,7210
FOCUS DYNAMICS GROUP BERHAD,0116
FOCUS LUMBER BERHAD,5197
FOCUS POINT HOLDINGS BERHAD,0157
FORMOSA PROSONIC INDUSTRIES BERHAD,9172
FOUNDPAC GROUP BERHAD,5277
FRASER & NEAVE HOLDINGS BHD,3689
FRONTKEN CORPORATION BERHAD,0128
FSBM HOLDINGS BERHAD,9377
FTSE BURSA MALAYSIA KLCI ETF,0820EA
G CAPITAL BERHAD,7676
G3 GLOBAL BERHAD,7184
GABUNGAN AQRS BERHAD,5226
GADANG HOLDINGS BHD,9261
GAGASAN NADI CERGAS BERHAD,0206
GAMUDA BERHAD,5398
GAS MALAYSIA BERHAD,5209
GDB HOLDINGS BERHAD,0198
GDEX BERHAD,0078
GENETEC TECHNOLOGY BERHAD,0104
GENTING BERHAD,3182
GENTING MALAYSIA BERHAD,4715
GENTING PLANTATIONS BERHAD,2291
GEORGE KENT (MALAYSIA) BERHAD,3204
GE-SHEN CORPORATION BERHAD,7197
GFM SERVICES BERHAD,0039
GHL SYSTEMS BERHAD,0021
GIIB HOLDINGS BERHAD,7192
GLOBAL ORIENTAL BERHAD,1147
GLOBALTEC FORMATION BERHAD,5220
GLOBETRONICS TECHNOLOGY BERHAD,7022
GLOMAC BERHAD,5020
GOLDEN LAND BERHAD,7382
GOLDEN PHAROS BERHAD,5649
GOPENG BERHAD,2135
GPP RESOURCES BERHAD,03029
GRAND CENTRAL ENTERPRISES BHD,5592
GREATECH TECHNOLOGY BERHAD,0208
GREEN OCEAN CORPORATION BERHAD,0074
GREEN PACKET BERHAD,0082
GREENYIELD BERHAD,0136
GROMUTUAL BERHAD,9962
GUAN CHONG BERHAD,5102
GUH HOLDINGS BERHAD,3247
GUOCOLAND (MALAYSIA) BERHAD,1503
HAILY GROUP BERHAD,0237
HANDAL ENERGY BERHAD,7253
HAP SENG CONSOLIDATED BERHAD,3034
HAP SENG PLANTATIONS HOLDINGS BERHAD,5138
HARBOUR-LINK GROUP BERHAD,2062
HARN LEN CORPORATION BHD,7501
HARRISONS HOLDINGS (MALAYSIA) BERHAD,5008
HARTALEGA HOLDINGS BERHAD,5168
HARVEST MIRACLE CAPITAL BERHAD,0060
HB GLOBAL LIMITED,5187
HCK CAPITAL GROUP BERHAD,7105
HEINEKEN MALAYSIA BERHAD,3255
HEITECH PADU BERHAD,5028
HEKTAR REAL ESTATE INVESTMENT TRUST,5121
HENG HUAT RESOURCES GROUP BERHAD,0175
