stock_name,stock_code
PANSAR BERHAD,8419
PANTECH GROUP HOLDINGS BERHAD,5125
PAOS HOLDINGS BERHAD,5022
PAPPAJACK BERHAD,0242
PARAGON GLOBE BERHAD,3611
PARAGON UNION BERHAD,9407
PARAMOUNT CORPORATION BERHAD,1724
PARKSON HOLDINGS BERHAD,5657
PARKWOOD HOLDINGS BERHAD,2682
PARLO BERHAD,0022
PASDEC HOLDINGS BERHAD,6912
PASUKHAS GROUP BERHAD,0177
PAVILION REAL ESTATE INVESTMENT TRUST,5212
PBA HOLDINGS BHD,5041
PCCS GROUP BERHAD,6068
PDZ HOLDINGS BHD,6254
PECCA GROUP BERHAD,5271
PEGASUS HEIGHTS BERHAD,4464
PEKAT GROUP BERHAD,0233
PELIKAN INTERNATIONAL CORPORATION BERHAD,5231
PENSONIC HOLDINGS BERHAD,9997
PENTAMASTER CORPORATION BERHAD,7160
PERAK CORPORATION BERHAD,8346
PERAK TRANSIT BERHAD,0186
PERDANA PETROLEUM BERHAD,7108
PERMAJU INDUSTRIES BERHAD,7080
PERTAMA DIGITAL BERHAD,8532
PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD,5436
PESONA METRO HOLDINGS BERHAD,8311
PESTECH INTERNATIONAL BERHAD,5219
PETERLABS HOLDINGS BERHAD,0171
PETRA ENERGY BERHAD,5133
PETRON MALAYSIA REFINING & MARKETING BHD,3042
PETRONAS CHEMICALS GROUP BERHAD,5183
PETRONAS DAGANGAN BHD,5681
PETRONAS GAS BERHAD,6033
PGF CAPITAL BERHAD,8117
PHARMANIAGA BERHAD,7081
PIMPINAN EHSAN BERHAD,5622
PINEAPPLE RESOURCES BERHAD,0006
PINEHILL PACIFIC BERHAD,1902
PINTARAS JAYA BHD,9598
PJBUMI BERHAD,7163
PLB ENGINEERING BERHAD,7055
PLENITUDE BERHAD,5075
PLS PLANTATIONS BERHAD,9695
PMB TECHNOLOGY BERHAD,7172
PNE PCB BERHAD,6637
POH HUAT RESOURCES HOLDINGS BERHAD,7088
POH KONG HOLDINGS BERHAD,5080
POLYDAMIC GROUP BERHAD,03031
POS MALAYSIA BERHAD,4634
POWER ROOT BERHAD,7237
POWERWELL HOLDINGS BERHAD,0217
PPB GROUP BERHAD,4065
PRESS METAL ALUMINIUM HOLDINGS BERHAD,8869
PRESTAR RESOURCES BERHAD,9873
PRG HOLDINGS BERHAD,7168
PRICEWORTH INTERNATIONAL BERHAD,7123
PRINCIPAL FTSE ASEAN 40 MALAYSIA ETF,0822EA
PRINCIPAL FTSE CHINA 50 ETF,0823EA
PRIVASIA TECHNOLOGY BERHAD,0123
PROGRESSIVE IMPACT CORPORATION BERHAD,7201
PROLEXUS BERHAD,8966
PROPEL GLOBAL BERHAD,0091
PROTASCO BERHAD,5070
PT RESOURCES HOLDINGS BERHAD,0260
PTT SYNERGY GROUP BERHAD,7010
PUBLIC BANK BERHAD,1295
PUBLIC PACKAGES HOLDINGS BHD,8273
PUC BERHAD,0007
PUNCAK NIAGA HOLDINGS BERHAD,6807
PWF CORPORATION BERHAD,7134
QES GROUP BERHAD,0196
QL RESOURCES BERHAD,7084
QUALITY CONCRETE HOLDINGS BERHAD,7544
RADIANT GLOBALTECH BERHAD,0202
RALCO CORPORATION BERHAD,7498
RAMSSOL GROUP BERHAD,0236
RANHILL UTILITIES BERHAD,5272
RAPID SYNERGY BERHAD,7765
RAY GO SOLAR HOLDINGS BERHAD,03052
RCE CAPITAL BERHAD,9296
REACH ENERGY BERHAD,5256
RED IDEAS HOLDINGS BERHAD,03002
RED SENA BERHAD,5270
REDPLANET BERHAD,03036
REDTONE DIGITAL BERHAD,0032
REKATECH CAPITAL BERHAD,0081
RENEUCO BERHAD,7130
RESERVOIR LINK ENERGY BHD,0219
RESINTECH BERHAD,7232
REVENUE GROUP BERHAD,0200
REX INDUSTRY BERHAD,9946
REXIT BERHAD,0106
RGB INTERNATIONAL BHD,0037
RGT BERHAD,9954
RHB BANK BERHAD,1066
RHONE MA HOLDINGS BERHAD,5278
RHONG KHEN INTERNATIONAL BERHAD,7006
RIMBUNAN SAWIT BERHAD,5113
RIVERVIEW RUBBER ESTATES BERHAD,2542
ROHAS TECNIC BERHAD,9741
RTS TECHNOLOGY HOLDINGS BERHAD,03039
S & F CAPITAL BERHAD,8745
S P SETIA BERHAD,8664
SAFETYWARE GROUP BERHAD,03056
SALCON BERHAD,8567
SALUTICA BERHAD,0183
SAM ENGINEERING & EQUIPMENT (M) BERHAD,9822
SAMAIDEN GROUP BERHAD,0223
SAMCHEM HOLDINGS BERHAD,5147
SANCY BERHAD,03057
SAND NISKO CAPITAL BERHAD,7943
SANICHI TECHNOLOGY BERHAD,0133
SAPURA ENERGY BERHAD,5218
SAPURA INDUSTRIAL BERHAD,7811
SAPURA RESOURCES BERHAD,4596
SARAWAK CABLE BERHAD,5170
SARAWAK CONSOLIDATED INDUSTRIES BERHAD,9237
SARAWAK OIL PALMS BERHAD,5126
SARAWAK PLANTATION BERHAD,5135
SASBADI HOLDINGS BERHAD,5252
SAUDEE GROUP BERHAD,5157
SBC CORPORATION BERHAD,5207
SC ESTATE BUILDER BERHAD,0109
SCANWOLF CORPORATION BERHAD,7239
SCC HOLDINGS BERHAD,0158
SCGM BHD,7247
SCICOM (MSC) BERHAD,0099
SCIENTEX BERHAD,4731
SCIENTEX PACKAGING (AYER KEROH) BERHAD,8125
SCOMI ENERGY SERVICES BHD,7045
SCOMI GROUP BERHAD,7158
SCOPE INDUSTRIES BERHAD,0028
SDS GROUP BERHAD,0212
SEACERA GROUP BERHAD,7073
SEAL INCORPORATED BERHAD,4286
SEALINK INTERNATIONAL BERHAD,5145
SECUREMETRIC BERHAD,0203
SEDANIA INNOVATOR BERHAD,0178
SEE HUP CONSOLIDATED BERHAD,7053
SEERS BERHAD,03009
SEG INTERNATIONAL BHD,9792
SELANGOR DREDGING BERHAD,2224
SENG FONG HOLDINGS BERHAD,5308
SENHENG NEW RETAIL BERHAD,5305
SENI JAYA CORPORATION BERHAD,9431
SENTORIA GROUP BERHAD,5213
SENTRAL REIT,5123
SERBA DINAMIK HOLDINGS BERHAD,5279
SEREMBAN ENGINEERING BERHAD,5163
SERN KOU RESOURCES BERHAD,7180
SERSOL BERHAD,0055
SFP TECH HOLDINGS BERHAD,0251
SHANGRI-LA HOTELS (MALAYSIA) BERHAD,5517
SHH RESOURCES HOLDINGS BERHAD,7412
SHIN YANG SHIPPING CORPORATION BERHAD,5173
SHL CONSOLIDATED BHD,6017
SIAB HOLDINGS BERHAD,0241
SIGNATURE INTERNATIONAL BERHAD,7246
SILVER RIDGE HOLDINGS BHD,0129
SIME DARBY BERHAD,4197
SIME DARBY PLANTATION BERHAD,5285
SIME DARBY PROPERTY BERHAD,5288
SIN HENG CHAN (MALAYA) BERHAD,4316
SINARAN ADVANCE GROUP BERHAD,5172
SINMAH CAPITAL BERHAD,9776
SKB SHUTTERS CORPORATION BERHAD,7115
SKP RESOURCES BHD,7155
SL INNOVATION CAPITAL BERHAD,03008
SLP RESOURCES BERHAD,7248
SMILE-LINK HEALTHCARE GLOBAL BERHAD,03023
SMIS CORPORATION BERHAD,7132
SMRT HOLDINGS BERHAD,0117
SMTRACK BERHAD,0169
SNOWFIT GROUP BERHAD,03054
SNS NETWORK TECHNOLOGY BERHAD,0259
SOLARVEST HOLDINGS BERHAD,0215
SOLID AUTOMOTIVE BERHAD,5242
SOLUTION GROUP BERHAD,0093
SOUTH MALAYSIA INDUSTRIES BERHAD,4375
SOUTHERN ACIDS (M) BERHAD,5134
SOUTHERN CABLE GROUP BERHAD,0225
SOUTHERN SCORE BUILDERS BERHAD,0045
SOUTHERN STEEL BERHAD,5665
SPORTS TOTO BERHAD,1562
SPRING ART HOLDINGS BERHAD,0216
SPRITZER BHD,7103
STAR MEDIA GROUP BERHAD,6084
STEEL HAWK BERHAD,03049
STELLA HOLDINGS BERHAD,5006
STRAITS ENERGY RESOURCES BERHAD,0080
SUBUR TIASA HOLDINGS BERHAD,6904
SUCCESS TRANSFORMER CORPORATION BERHAD,7207
SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,2569
SUNMOW HOLDING BERHAD,03050
SUNSURIA BERHAD,3743
SUNVIEW GROUP BERHAD,0262
SUNWAY BERHAD,5211
SUNWAY CONSTRUCTION GROUP BERHAD,5263
SUNWAY REAL ESTATE INVESTMENT TRUST,5176
SUNZEN BIOTECH BERHAD,0148
SUPERCOMNET TECHNOLOGIES BERHAD,0001
SUPERGENICS BERHAD,03033
SUPERLON HOLDINGS BERHAD,7235
SUPERMAX CORPORATION BERHAD,7106
SUPREME CONSOLIDATED RESOURCES BERHAD,03018
SURIA CAPITAL HOLDINGS BERHAD,6521
SWIFT HAULAGE BERHAD,5303
SWS CAPITAL BERHAD,7186
SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,6139
SYCAL VENTURES BERHAD,9717
SYF RESOURCES BERHAD,7082
SYMPHONY LIFE BERHAD,1538
SYSTECH BHD,0050
T7 GLOBAL BERHAD,7228
TA ANN HOLDINGS BERHAD,5012
TA WIN HOLDINGS BERHAD,7097
TAFI INDUSTRIES BERHAD,7211
TALAM TRANSFORM BERHAD,2259
TALIWORKS CORPORATION BERHAD,8524
TAMBUN INDAH LAND BERHAD,5191
TAN CHONG MOTOR HOLDINGS BERHAD,4405
TANCO HOLDINGS BERHAD,2429
TAS OFFSHORE BERHAD,5149
TASCO BERHAD,5140
TASHIN HOLDINGS BERHAD,0211
TCS GROUP HOLDINGS BERHAD,0221
TDM BERHAD,2054
TECHBOND GROUP BERHAD,5289
TECHNA-X BERHAD,2739
TECHNODEX BHD,0132
TECK GUAN PERDANA BERHAD,7439
TEK SENG HOLDINGS BERHAD,7200
TELADAN SETIA GROUP BERHAD,0230
TELEKOM MALAYSIA BERHAD,4863
TENAGA NASIONAL BHD,5347
TEO GUAN LEE CORPORATION BERHAD,9369
TEO SENG CAPITAL BERHAD,7252
TEX CYCLE TECHNOLOGY (M) BERHAD,0089
TEXCHEM RESOURCES BERHAD,8702
TFP SOLUTIONS BERHAD,0145
TH PLANTATIONS BERHAD,5112
THETA EDGE BERHAD,9075
THONG GUAN INDUSTRIES BERHAD,7034
THREE-A RESOURCES BERHAD,0012
THRIVEN GLOBAL BERHAD,7889
TIEN WAH PRESS HOLDINGS BERHAD,7374
TIMBERWELL BERHAD,7854
TIME DOTCOM BERHAD,5031
TIONG NAM LOGISTICS HOLDINGS BERHAD,8397
TITIJAYA LAND BERHAD,5239
TMC LIFE SCIENCES BERHAD,0101
TOMEI CONSOLIDATED BERHAD,7230
TOMYPAK HOLDINGS BERHAD,7285
TONG HERR RESOURCES BERHAD,5010
TOP BUILDERS CAPITAL BERHAD,5268
TOP GLOVE CORPORATION BHD,7113
TOPVISION EYE SPECIALIST BERHAD,03013
TOWER REAL ESTATE INVESTMENT TRUST,5111
TOYO VENTURES HOLDINGS BERHAD,7173
TPC PLUS BERHAD,7176
TRADEPLUS DWA MALAYSIA MOMENTUM TRACKER,0836EA
TRADEPLUS HSCEI DAILY (-1X) INVERSE TRACKER,0833EA
TRADEPLUS HSCEI DAILY (2X) LEVERAGED TRACKER,0832EA
TRADEPLUS MSCI ASIA EX JAPAN REITS TRACKER,0837EA
TRADEPLUS NYSE FANG+ DAILY (-1X) INVERSE TRACKER,0831EA
TRADEPLUS NYSE FANG+ DAILY (2X) LEVERAGED TRACKER,0830EA
TRADEPLUS S&P NEW CHINA TRACKER-MYR,0829EA
TRADEPLUS S&P NEW CHINA TRACKER-USD,0829EB
TRADEPLUS SHARIAH GOLD TRACKER,0828EA
TRANSOCEAN HOLDINGS BHD,7218
TRC SYNERGY BERHAD,5054
TRI-MODE SYSTEM (M) BERHAD,0199
TRIVE PROPERTY GROUP BERHAD,0118
TROPICANA CORPORATION BERHAD,5401
TSH RESOURCES BERHAD,9059
TSR CAPITAL BERHAD,5042
TT VISION HOLDINGS BERHAD,0272
TUJU SETIA BERHAD,5297
TUNE PROTECT GROUP BERHAD,5230
TURBO-MECH BERHAD,5167
TURIYA BERHAD,4359
TWL HOLDINGS BERHAD,7079
UCHI TECHNOLOGIES BERHAD,7100
UCI RESOURCES BERHAD,03043
UCREST BERHAD,0005
UEM EDGENTA BERHAD,1368
UEM SUNRISE BERHAD,5148
UMEDIC GROUP BERHAD,0256
UMS HOLDINGS BERHAD,7137
UMS-NEIKEN GROUP BERHAD,7227
UMW HOLDINGS BERHAD,4588
UNI WALL APS HOLDINGS BERHAD,03017
UNIMECH GROUP BERHAD,7091
UNIQUE FIRE HOLDINGS BERHAD,0257
UNISEM (M) BERHAD,5005
UNITED MALACCA BERHAD,2593
UNITED PLANTATIONS BERHAD,2089
UNITED U-LI CORPORATION BERHAD,7133
UNITRADE INDUSTRIES BERHAD,0247
UOA DEVELOPMENT BHD,5200
UOA REAL ESTATE INVESTMENT TRUST,5110
UPA CORPORATION BHD,7757
UWC BERHAD,5292
UZMA BERHAD,7250
V.S. INDUSTRY BERHAD,6963
VELESTO ENERGY BERHAD,5243
VERSATILE CREATIVE BERHAD,4995
VESTLAND BERHAD,0273
VINVEST CAPITAL HOLDINGS BERHAD,0069
VISDYNAMICS HOLDINGS BERHAD,0120
VITROX CORPORATION BERHAD,0097
VIZIONE HOLDINGS BERHAD,7070
VOLCANO BERHAD,0232
VP-DJ SHARIAH CHINA A-SHARES 100 ETF - MYR,0838EA
VSOLAR GROUP BERHAD,0066
VSTECS BERHAD,5162
WAH SEONG CORPORATION BERHAD,5142
WAJA KONSORTIUM BERHAD,0102
WANG-ZHENG BERHAD,7203
WARISAN TC HOLDINGS BERHAD,5016
WATTA HOLDING BERHAD,7226
WCE HOLDINGS BERHAD,3565
WCT HOLDINGS BERHAD,9679
WEGMANS HOLDINGS BERHAD,0197
WELLCALL HOLDINGS BERHAD,7231
WELLSPIRE HOLDINGS BERHAD,0271
WESTPORTS HOLDINGS BERHAD,5246
WHITE HORSE BERHAD,5009
WIDAD GROUP BERHAD,0162
WILLOWGLEN MSC BERHAD,0008
WMG HOLDINGS BERHAD,6378
WONG ENGINEERING CORPORATION BERHAD,7050
WOODLANDOR HOLDINGS BHD,7025
WTK HOLDINGS BERHAD,4243
XIDELANG HOLDINGS LTD,5156
XIN HWA HOLDINGS BERHAD,5267
XL HOLDINGS BERHAD,7121
XOX BHD,0165
XOX NETWORKS BERHAD,0140
XOX TECHNOLOGY BERHAD,0017
Y&G CORPORATION BHD,7003
Y.S.P.SOUTHEAST ASIA HOLDING BERHAD,7178
YB VENTURES BERHAD,5048
YBS INTERNATIONAL BERHAD,0025
YENHER HOLDINGS BERHAD,5300
YEW LEE PACIFIC GROUP BERHAD,0248
YGL CONVERGENCE BERHAD,0086
YINSON HOLDINGS BERHAD,7293
YKGI HOLDINGS BERHAD,7020
YLI HOLDINGS BERHAD,7014
YNH PROPERTY BERHAD,3158
YONG TAI BERHAD,7066
YOONG ONN CORPORATION BERHAD,5159
